ANO,NO_CINE_ROTULO,QT_ING,QT_CONC,QT_ING5,EVASAO,_MASC,_FEM,_DIURNO,_NOTURNO,_17_29,_30_MAIS,_BRANCA,_N_BRANCA,_RESERVA_VAGA,_RVREDEPUBLICA,_RVETNICO,_RVPDEF,_RVSOCIAL_RF,_PROCESCPUBLICA,_PROCESCPRIVADA,_APOIO_SOCIAL
2014,Administração,157.0,133.0,249.0,46.59,68.46,14.0,0.0,0.0,51.9,0.0,40.34,55.21,,,,,,0.0,0.0,66.67
2014,Arquitetura e urbanismo,67.0,28.0,66.0,57.58,59.09,56.82,0.0,,62.12,0.0,64.86,52.94,,,,,,0.0,0.0,100.0
2014,Arquivologia,81.0,48.0,81.0,40.74,54.84,32.0,,0.0,58.06,0.0,35.48,41.86,,,,,,0.0,0.0,75.0
2014,Artes visuais formação de professor,8.0,6.0,25.0,76.0,92.31,58.33,0.0,,75.0,77.78,90.91,44.44,,,,,,0.0,0.0,100.0
2014,Biblioteconomia,87.0,46.0,90.0,48.89,39.39,54.39,,0.0,58.46,24.0,60.53,36.36,,,,,,0.0,0.0,0.0
2014,Biologia formação de professor,85.0,33.0,141.0,76.6,69.64,81.18,0.0,0.0,77.61,57.14,74.55,76.56,0.0,0.0,,,,0.0,0.0,73.08
2014,Ciência da computação,101.0,22.0,91.0,75.82,73.42,91.67,0.0,,76.92,0.0,63.27,90.32,,,,,,0.0,0.0,0.0
2014,Ciências naturais formação de professor,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2014,Ciências sociais,48.0,11.0,47.0,76.6,64.71,83.33,0.0,,85.71,0.0,68.75,76.19,,,,,,0.0,0.0,60.0
2014,Ciências sociais formação de professor,45.0,10.0,99.0,89.9,89.66,90.24,,0.0,89.39,90.91,66.67,84.62,,,,,,0.0,0.0,100.0
2014,Contabilidade,215.0,107.0,190.0,43.68,45.87,40.74,0.0,0.0,45.66,23.53,44.19,40.48,0.0,0.0,0.0,,,0.0,0.0,50.0
2014,Direito,296.0,240.0,314.0,23.57,28.81,16.79,0.0,0.0,27.53,0.0,13.86,26.47,,,,,,0.0,0.0,0.0
2014,Economia,170.0,31.0,202.0,84.65,87.5,81.11,0.0,0.0,87.08,66.67,80.25,86.81,,,,,,0.0,0.0,100.0
2014,Educação física,68.0,38.0,61.0,37.7,38.46,36.36,0.0,,40.0,0.0,46.88,16.0,,,,,,0.0,0.0,0.0
2014,Educação física formação de professor,65.0,28.0,66.0,57.58,56.82,59.09,0.0,,69.84,0.0,53.33,60.0,0.0,,0.0,,,0.0,0.0,57.14
2014,Enfermagem,102.0,63.0,109.0,42.2,61.54,39.58,0.0,,47.62,0.0,36.84,36.36,,,,,,0.0,0.0,40.0
2014,Enfermagem formação de professor,0.0,13.0,28.0,53.57,0.0,61.54,0.0,,66.67,0.0,0.0,0.0,,,,,,0.0,0.0,
2014,Engenharia ambiental,85.0,12.0,70.0,82.86,95.56,60.0,0.0,,81.82,100.0,75.0,84.38,,,,,,0.0,0.0,75.0
2014,Engenharia civil,99.0,66.0,97.0,31.96,30.26,38.1,0.0,,33.33,0.0,25.0,3.57,,,,,,0.0,0.0,0.0
2014,Engenharia de alimentos,71.0,23.0,81.0,71.6,76.0,69.64,0.0,,77.63,0.0,81.25,64.71,,,,,,0.0,0.0,93.94
2014,Engenharia de materiais,84.0,16.0,89.0,82.02,83.33,80.0,0.0,,77.14,100.0,64.29,88.89,,,,,,0.0,0.0,88.24
2014,Engenharia de produção,90.0,22.0,72.0,69.44,70.21,68.0,0.0,0.0,70.0,50.0,68.57,81.82,,,,,,0.0,0.0,100.0
2014,Engenharia elétrica,97.0,1.0,74.0,98.65,98.44,100.0,0.0,,98.61,100.0,100.0,96.15,,,,,,0.0,,100.0
2014,Engenharia mecânica,102.0,51.0,96.0,46.88,52.81,0.0,0.0,,53.19,0.0,55.32,48.39,,,,,,0.0,0.0,72.73
2014,Engenharia química,86.0,13.0,70.0,81.43,82.5,80.0,0.0,,80.0,100.0,85.29,72.41,,,,,,0.0,0.0,88.89
2014,Ensino religioso formação de professor,0.0,36.0,113.0,68.14,75.36,56.82,0.0,0.0,90.28,29.27,75.0,60.71,0.0,,0.0,,,0.0,0.0,0.0
2014,Estatística,37.0,11.0,43.0,74.42,85.19,56.25,0.0,,75.0,71.43,83.33,50.0,,,,,,0.0,0.0,0.0
2014,Farmácia,94.0,86.0,191.0,54.97,60.27,51.69,0.0,,55.74,37.5,44.12,25.45,,,,,,0.0,0.0,62.0
2014,Filosofia formação de professor,45.0,14.0,52.0,73.08,70.27,80.0,,0.0,76.47,66.67,61.11,70.59,,,,,,0.0,0.0,100.0
2014,Fisioterapia,81.0,54.0,87.0,37.93,54.55,32.31,0.0,,37.65,50.0,33.33,44.12,0.0,0.0,,,,0.0,0.0,37.5
2014,Fonoaudiologia,63.0,38.0,30.0,0.0,53.33,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0
2014,Física formação de professor,82.0,9.0,131.0,93.13,94.29,88.46,,0.0,93.97,86.67,93.88,91.8,0.0,0.0,,,,0.0,0.0,87.5
2014,Geografia formação de professor,42.0,21.0,136.0,84.56,88.51,77.55,,0.0,83.81,87.1,88.1,81.25,,,,,,0.0,0.0,66.67
2014,História formação de professor,130.0,45.0,88.0,48.86,56.9,33.33,0.0,0.0,59.49,0.0,41.46,51.61,,,,,,0.0,0.0,100.0
2014,Jornalismo,70.0,31.0,60.0,48.33,73.53,15.38,0.0,,51.67,0.0,21.74,50.0,0.0,0.0,0.0,,,0.0,0.0,50.0
2014,Letras espanhol formação de professor,48.0,18.0,47.0,61.7,78.57,54.55,0.0,,67.5,28.57,42.86,65.0,,,,,,0.0,0.0,66.67
2014,Letras francês formação de professor,43.0,4.0,58.0,93.1,100.0,91.11,0.0,0.0,94.44,75.0,91.67,92.59,0.0,,,,,0.0,0.0,100.0
2014,Letras inglês formação de professor,95.0,23.0,110.0,79.09,82.22,76.92,0.0,0.0,81.37,50.0,79.59,76.92,,,,,,0.0,0.0,100.0
2014,Letras línguas estrangeiras clássicas formação de professor,49.0,2.0,74.0,97.3,100.0,94.74,,0.0,96.43,100.0,89.47,100.0,,,,,,0.0,,100.0
2014,Letras outras línguas estrangeiras modernas formação de professor,0.0,0.0,0.0,,,,,,,,,,,,,,,,,
2014,Letras português formação de professor,155.0,106.0,179.0,40.78,50.0,37.4,0.0,0.0,50.0,0.0,30.3,43.53,0.0,0.0,0.0,,,0.0,0.0,40.0
2014,Letras tradutor e intérprete,8.0,2.0,50.0,96.0,95.24,96.55,0.0,,94.74,100.0,91.3,100.0,,,,,,0.0,0.0,100.0
2014,Matemática formação de professor,82.0,13.0,99.0,86.87,88.06,84.38,0.0,0.0,85.37,94.12,84.85,85.45,,,,,,0.0,0.0,88.24
2014,Medicina,119.0,101.0,115.0,12.17,1.72,22.81,0.0,,20.18,0.0,7.14,9.68,0.0,,0.0,,,0.0,0.0,100.0
2014,Música,34.0,18.0,49.0,63.27,63.41,62.5,0.0,,73.81,0.0,68.0,60.0,,,,,,0.0,0.0,100.0
